"","METRO_STATUS","count","10 - 25","101 - 200","201 - 500","26 - 50","501 - 1,000","51 - 100","< 10","> 1,000"
"1","Metropolitan area",9630285.36515331,15.0186689082289,NA,NA,NA,NA,NA,NA,NA
"2","Metropolitan area",6342391.53732976,NA,9.89111692683386,NA,NA,NA,NA,NA,NA
"3","Metropolitan area",7299403.44386543,NA,NA,11.3836007339597,NA,NA,NA,NA,NA
"4","Metropolitan area",7500702.95351065,NA,NA,NA,11.6975323125285,NA,NA,NA,NA
"5","Metropolitan area",4189018.64680124,NA,NA,NA,NA,6.53287848918309,NA,NA,NA
"6","Metropolitan area",7483042.06463719,NA,NA,NA,NA,NA,11.6699897182482,NA,NA
"7","Metropolitan area",11568619.932767,NA,NA,NA,NA,NA,NA,18.0415497472227,NA
"8","Metropolitan area",10108632.5213339,NA,NA,NA,NA,NA,NA,NA,15.7646631637952
"9","Non-metropolitan area",1645539.82535505,18.3592894038204,NA,NA,NA,NA,NA,NA,NA
"10","Non-metropolitan area",942997.832579447,NA,10.5210277191353,NA,NA,NA,NA,NA,NA
"11","Non-metropolitan area",1152384.94395816,NA,NA,12.8571599208596,NA,NA,NA,NA,NA
"12","Non-metropolitan area",993730.293687545,NA,NA,NA,11.0870498361938,NA,NA,NA,NA
"13","Non-metropolitan area",636527.12913625,NA,NA,NA,NA,7.10173378798286,NA,NA,NA
"14","Non-metropolitan area",1063409.62581625,NA,NA,NA,NA,NA,11.8644622113333,NA,NA
"15","Non-metropolitan area",1878406.14129999,NA,NA,NA,NA,NA,NA,20.9573791133248,NA
"16","Non-metropolitan area",649986.321258379,NA,NA,NA,NA,NA,NA,NA,7.25189800734989
